,iyear,extended,vicinity,latitude,longitude,crit1,crit2,crit3,suicide,individual,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,propextent,dayn,attacktype1_1,attacktype1_2,attacktype1_3,attacktype1_4,attacktype1_5,attacktype1_6,attacktype1_7,attacktype1_8,attacktype1_9,targtype1_1,targtype1_2,targtype1_3,targtype1_4,targtype1_5,targtype1_6,targtype1_7,targtype1_8,targtype1_9,targtype1_10,targtype1_11,targtype1_12,targtype1_13,targtype1_14,targtype1_15,targtype1_16,targtype1_17,targtype1_18,targtype1_19,targtype1_20,targtype1_21,targtype1_22,claimmode_1,claimmode_2,claimmode_3,claimmode_4,claimmode_5,claimmode_6,claimmode_7,claimmode_8,claimmode_9,claimmode_10
0,1970,False,False,37.005105,-89.17626899999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1970,False,False,37.805065,-122.27302399999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,1970,False,False,43.076592,-89.412488,True,True,True,False,False,1.0,1.0,True,0.0,0.0,0.0,0.0,3.0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,1970,False,False,43.07295,-89.38669399999999,True,True,True,False,False,1.0,1.0,False,0.0,0.0,0.0,0.0,3.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1970,False,False,39.74001,-104.992259,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1970,False,False,42.331685,-83.047924,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1970,False,False,18.399712,-66.049987,True,True,True,False,False,2.0,1.0,True,0.0,0.0,0.0,0.0,2.0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1970,False,False,40.610069,-73.947971,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,1970,False,False,47.603559999999995,-122.329439,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,13,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,1970,False,False,40.116748,-88.23926999999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,1.0,0.0,3.0,14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
