,eventid,iyear,imonth,iday,crit1,crit2,crit3,city,vicinity,latitude,longitude,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,success,suicide,targtype1,targtype1_txt,corp1,gname,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt,propvalue,ishostkid,nhostkid,ransomamt,ransompaid,nreleased
0,197001010002,1970,1,1.0,1,1,1,Cairo,0,37.005105,-89.17626899999999,2,Armed Assault,,,,,1,0,3,Police,Cairo Police Department,Black Nationalists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
1,197001020002,1970,1,2.0,1,1,1,Oakland,0,37.805065,-122.27302399999999,3,Bombing/Explosion,,,,,1,0,21,Utilities,Pacific Gas & Electric Company,,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),22500.0,0.0,,,,
2,197001020003,1970,1,2.0,1,1,1,Madison,0,43.076592,-89.412488,7,Facility/Infrastructure Attack,,,,,1,0,4,Military,R.O.T.C.,New Year's Gang,0,1.0,1.0,1.0,1.0,Letter,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),60000.0,0.0,,,,
3,197001030001,1970,1,3.0,1,1,1,Madison,0,43.07295,-89.38669399999999,7,Facility/Infrastructure Attack,,,,,1,0,2,Government (General),Selective Service,New Year's Gang,0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
4,197001050001,1970,1,1.0,1,1,0,Baraboo,0,43.4685,-89.744299,3,Bombing/Explosion,,,,,0,0,4,Military,,"Weather Underground, Weathermen",0,,,,,,0.0,,0.0,,0.0,3.0,Minor (likely < $1 million),0.0,0.0,,,,
5,197001060001,1970,1,6.0,1,1,1,Denver,0,39.74001,-104.992259,7,Facility/Infrastructure Attack,,,,,1,0,4,Military,Army Recruiting Station,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),305.0,0.0,,,,
6,197001090001,1970,1,9.0,1,1,1,Detroit,0,42.331685,-83.047924,7,Facility/Infrastructure Attack,,,,,1,0,2,Government (General),U.S. Government housing,Left-Wing Militants,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
7,197001090002,1970,1,9.0,1,1,1,Rio Piedras,0,18.399712,-66.049987,7,Facility/Infrastructure Attack,,,,,1,0,1,Business,American owned business in Puerto Rico,Armed Commandos of Liberation,0,,,1.0,10.0,,0.0,0.0,0.0,0.0,1.0,2.0,Major (likely > $1 million but < $1 billion),2000000.0,0.0,,,,
8,197001120001,1970,1,12.0,1,1,1,New York City,0,40.610069,-73.947971,3,Bombing/Explosion,,,,,1,0,8,Educational Institution,High School,Black Nationalists,0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,3.0,Minor (likely < $1 million),,0.0,,,,
9,197001120002,1970,1,12.0,1,1,1,Rio Grande,0,18.379998,-65.83094799999999,3,Bombing/Explosion,,,,,1,0,1,Business,General Electric,Strikers,0,,,0.0,,,0.0,0.0,0.0,0.0,,4.0,,,0.0,,,,
